nodeNum,nodeName,nodeType,gpsX,gpsY,vehicleCCap
int,string,string,double,double,int
15,Node  15,StationC,1,1,5000
16,Node  16,StationC,2,1,5000
17,Node  17,StationC,3,1,5000
18,Node  18,StationC,4,1,5000
19,Node  19,StationC,5,1,5000
20,Node  20,StationC,6,1,5000
21,Node  21,StationC,7,1,5000
22,Node  22,StationC,8,1,5000
23,Node  23,StationC,9,1,5000
24,Node  24,StationC,10,1,5000
25,Node  25,StationC,11,1,5000
28,Node  28,StationC,1,2,5000
29,Node  29,StationC,2,2,5000
30,Node  30,StationC,3,2,5000
31,Node  31,StationC,4,2,5000
32,Node  32,StationC,5,2,5000
33,Node  33,StationC,6,2,5000
34,Node  34,StationC,7,2,5000
35,Node  35,StationC,8,2,5000
36,Node  36,StationC,9,2,5000
37,Node  37,StationC,10,2,5000
38,Node  38,StationC,11,2,5000
41,Node  41,StationC,1,3,5000
42,Node  42,StationC,2,3,5000
43,Node  43,StationC,3,3,5000
44,Node  44,StationC,4,3,5000
45,Node  45,StationC,5,3,5000
46,Node  46,StationC,6,3,5000
47,Node  47,StationC,7,3,5000
48,Node  48,StationC,8,3,5000
49,Node  49,StationC,9,3,5000
50,Node  50,StationC,10,3,5000
51,Node  51,StationC,11,3,5000
54,Node  54,StationC,1,4,5000
55,Node  55,StationC,2,4,5000
56,Node  56,StationC,3,4,5000
58,Node  58,StationC,5,4,5000
59,Node  59,StationC,6,4,5000
60,Node  60,StationC,7,4,5000
62,Node  62,StationC,9,4,5000
63,Node  63,StationC,10,4,5000
64,Node  64,StationC,11,4,5000
67,Node  67,StationC,1,5,5000
68,Node  68,StationC,2,5,5000
69,Node  69,StationC,3,5,5000
70,Node  70,StationC,4,5,5000
71,Node  71,StationC,5,5,5000
72,Node  72,StationC,6,5,5000
73,Node  73,StationC,7,5,5000
74,Node  74,StationC,8,5,5000
75,Node  75,StationC,9,5,5000
76,Node  76,StationC,10,5,5000
77,Node  77,StationC,11,5,5000
80,Node  80,StationC,1,6,5000
81,Node  81,StationC,2,6,5000
82,Node  82,StationC,3,6,5000
83,Node  83,StationC,4,6,5000
84,Node  84,StationC,5,6,5000
86,Node  86,StationC,7,6,5000
87,Node  87,StationC,8,6,5000
88,Node  88,StationC,9,6,5000
89,Node  89,StationC,10,6,5000
90,Node  90,StationC,11,6,5000
93,Node  93,StationC,1,7,5000
94,Node  94,StationC,2,7,5000
95,Node  95,StationC,3,7,5000
96,Node  96,StationC,4,7,5000
97,Node  97,StationC,5,7,5000
98,Node  98,StationC,6,7,5000
99,Node  99,StationC,7,7,5000
100,Node 100,StationC,8,7,5000
101,Node 101,StationC,9,7,5000
102,Node 102,StationC,10,7,5000
103,Node 103,StationC,11,7,5000
106,Node 106,StationC,1,8,5000
107,Node 107,StationC,2,8,5000
108,Node 108,StationC,3,8,5000
110,Node 110,StationC,5,8,5000
111,Node 111,StationC,6,8,5000
112,Node 112,StationC,7,8,5000
114,Node 114,StationC,9,8,5000
115,Node 115,StationC,10,8,5000
116,Node 116,StationC,11,8,5000
119,Node 119,StationC,1,9,5000
120,Node 120,StationC,2,9,5000
121,Node 121,StationC,3,9,5000
122,Node 122,StationC,4,9,5000
123,Node 123,StationC,5,9,5000
124,Node 124,StationC,6,9,5000
125,Node 125,StationC,7,9,5000
126,Node 126,StationC,8,9,5000
127,Node 127,StationC,9,9,5000
128,Node 128,StationC,10,9,5000
129,Node 129,StationC,11,9,5000
132,Node 132,StationC,1,10,5000
133,Node 133,StationC,2,10,5000
134,Node 134,StationC,3,10,5000
135,Node 135,StationC,4,10,5000
136,Node 136,StationC,5,10,5000
137,Node 137,StationC,6,10,5000
138,Node 138,StationC,7,10,5000
139,Node 139,StationC,8,10,5000
140,Node 140,StationC,9,10,5000
141,Node 141,StationC,10,10,5000
142,Node 142,StationC,11,10,5000
145,Node 145,StationC,1,11,5000
146,Node 146,StationC,2,11,5000
147,Node 147,StationC,3,11,5000
148,Node 148,StationC,4,11,5000
149,Node 149,StationC,5,11,5000
150,Node 150,StationC,6,11,5000
151,Node 151,StationC,7,11,5000
152,Node 152,StationC,8,11,5000
153,Node 153,StationC,9,11,5000
154,Node 154,StationC,10,11,5000
155,Node 155,StationC,11,11,5000
