vehicleECap,pStationCharge,nodeNum,nodeName,nodeType,gpsX,gpsY,vehicleCCap
int,kW/vehicle,int,stirng,string,double,double,int
30,24,1,Node   1,HomeE,0,0,5000
30,24,2,Node   2,HomeE,1,0,5000
30,24,3,Node   3,HomeE,2,0,5000
30,24,4,Node   4,HomeE,3,0,5000
30,24,5,Node   5,HomeE,4,0,5000
30,24,6,Node   6,HomeE,5,0,5000
30,24,7,Node   7,HomeE,6,0,5000
30,24,8,Node   8,HomeE,7,0,5000
30,24,9,Node   9,HomeE,8,0,5000
30,24,10,Node  10,HomeE,9,0,5000
30,24,11,Node  11,HomeE,10,0,5000
30,24,12,Node  12,HomeE,11,0,5000
30,24,13,Node  13,HomeE,12,0,5000
30,24,14,Node  14,HomeE,0,1,5000
30,24,26,Node  26,HomeE,12,1,5000
30,24,27,Node  27,HomeE,0,2,5000
30,24,39,Node  39,HomeE,12,2,5000
30,24,40,Node  40,HomeE,0,3,5000
30,24,52,Node  52,HomeE,12,3,5000
30,24,53,Node  53,HomeE,0,4,5000
25,24,57,Node  57,WorkE,4,4,5000
25,24,61,Node  61,WorkE,8,4,5000
30,24,65,Node  65,HomeE,12,4,5000
30,24,66,Node  66,HomeE,0,5,5000
30,24,78,Node  78,HomeE,12,5,5000
30,24,79,Node  79,HomeE,0,6,5000
25,24,85,Node  85,WorkE,6,6,5000
30,24,91,Node  91,HomeE,12,6,5000
30,24,92,Node  92,HomeE,0,7,5000
30,24,104,Node 104,HomeE,12,7,5000
30,24,105,Node 105,HomeE,0,8,5000
25,24,109,Node 109,WorkE,4,8,5000
25,24,113,Node 113,WorkE,8,8,5000
30,24,117,Node 117,HomeE,12,8,5000
30,24,118,Node 118,HomeE,0,9,5000
30,24,130,Node 130,HomeE,12,9,5000
30,24,131,Node 131,HomeE,0,10,5000
30,24,143,Node 143,HomeE,12,10,5000
30,24,144,Node 144,HomeE,0,11,5000
30,24,156,Node 156,HomeE,12,11,5000
30,24,157,Node 157,HomeE,0,12,5000
30,24,158,Node 158,HomeE,1,12,5000
30,24,159,Node 159,HomeE,2,12,5000
30,24,160,Node 160,HomeE,3,12,5000
30,24,161,Node 161,HomeE,4,12,5000
30,24,162,Node 162,HomeE,5,12,5000
30,24,163,Node 163,HomeE,6,12,5000
30,24,164,Node 164,HomeE,7,12,5000
30,24,165,Node 165,HomeE,8,12,5000
30,24,166,Node 166,HomeE,9,12,5000
30,24,167,Node 167,HomeE,10,12,5000
30,24,168,Node 168,HomeE,11,12,5000
30,24,169,Node 169,HomeE,12,12,5000
